start_ship                , end_ship                  , total_distance    , path
Mustang Alpha             , Spartan                   , 3.5               , Mustang Alpha               -> Spartan
Mustang Alpha             , SRV                       , 3.5               , Mustang Alpha               -> SRV
Mustang Alpha             , Starfarer                 , 5.214285714285714 , Mustang Alpha               -> Starfarer
Mustang Alpha             , Starfarer Gemini          , 5.166666666666667 , Mustang Alpha               -> Starfarer Gemini
Mustang Alpha             , Starlancer MAX            , 5.0               , Mustang Alpha               -> Starlancer MAX
Mustang Alpha             , Starlancer TAC            , 5.666666666666667 , Mustang Alpha               -> Starlancer TAC
Mustang Alpha             , Storm                     , 3.5               , Mustang Alpha               -> Storm
Mustang Alpha             , Storm AA                  , 3.5               , Mustang Alpha               -> Storm AA
Mustang Alpha             , STV                       , 4.5               , Mustang Alpha               -> STV
Mustang Alpha             , Talon                     , 3.5               , Mustang Alpha               -> Talon
Mustang Alpha             , Ursa                      , 4.833333333333333 , Mustang Alpha               -> Ursa
Mustang Alpha             , Talon Shrike              , 3.5               , Mustang Alpha               -> Talon Shrike
Mustang Alpha             , Terrapin                  , 3.5               , Mustang Alpha               -> Terrapin
Mustang Alpha             , Terrapin Medic            , 3.5               , Mustang Alpha               -> Terrapin Medic
Mustang Alpha             , Ursa Medivac              , 4.833333333333333 , Mustang Alpha               -> Ursa Medivac
Mustang Alpha             , Valkyrie                  , 5.1               , Mustang Alpha               -> Valkyrie
Mustang Alpha             , Vanguard Harbinger        , 4.5               , Mustang Alpha               -> Vanguard Harbinger
Mustang Alpha             , Vanguard Hoplite          , 4.5               , Mustang Alpha               -> Vanguard Hoplite
Mustang Alpha             , Vanguard Sentinel         , 4.5               , Mustang Alpha               -> Vanguard Sentinel
Mustang Alpha             , Vanguard Warden           , 4.5               , Mustang Alpha               -> Vanguard Warden
Mustang Alpha             , Vulcan                    , 4.333333333333333 , Mustang Alpha               -> Vulcan
Mustang Alpha             , Vulture                   , 3.5               , Mustang Alpha               -> Vulture
Mustang Alpha             , X1                        , 3.5               , Mustang Alpha               -> X1
Mustang Alpha             , X1 Force                  , 3.5               , Mustang Alpha               -> X1 Force
Mustang Alpha             , X1 Velocity               , 3.5               , Mustang Alpha               -> X1 Velocity
Mustang Alpha             , Zeus CL Mk II             , 4.833333333333333 , Mustang Alpha               -> Zeus CL Mk II
Mustang Alpha             , Zeus ES Mk II             , 4.833333333333333 , Mustang Alpha               -> Zeus ES Mk II
Mustang Alpha             , Zeus MR Mk II             , 5.333333333333333 , Mustang Alpha               -> Zeus MR Mk II
Mustang Beta              , Mustang Delta             , 2.0               , Mustang Beta                -> Mustang Delta
Mustang Beta              , Mustang Gamma             , 2.0               , Mustang Beta                -> Mustang Gamma
Mustang Beta              , Mustang Omega             , 2.0               , Mustang Beta                -> Mustang Omega
Mustang Beta              , Nautilus                  , 5.75              , Mustang Beta                -> Nautilus
Mustang Beta              , Nomad                     , 2.0               , Mustang Beta                -> Nomad
Mustang Beta              , Nova                      , 4.833333333333333 , Mustang Beta                -> Nova
Mustang Beta              , Nox                       , 3.5               , Mustang Beta                -> Nox
Mustang Beta              , Odyssey                   , 3.0               , Mustang Beta                -> Odyssey
Mustang Beta              , Orion                     , 5.714285714285714 , Mustang Beta                -> Orion
Mustang Beta              , P-52 Merlin               , 3.5               , Mustang Beta                -> P-52 Merlin
Mustang Beta              , P-72 Archimedes           , 3.5               , Mustang Beta                -> P-72 Archimedes
Mustang Beta              , Paladin                   , 5.5               , Mustang Beta                -> Paladin
Mustang Beta              , Perseus                   , 5.666666666666667 , Mustang Beta                -> Perseus
Mustang Beta              , Pioneer                   , 4.25              , Mustang Beta                -> Pioneer
Mustang Beta              , Polaris                   , 5.333333333333333 , Mustang Beta                -> Polaris
Mustang Beta              , Prospector                , 3.5               , Mustang Beta                -> Prospector
Mustang Beta              , Prowler                   , 4.5               , Mustang Beta                -> Prowler
Mustang Beta              , PTV                       , 4.5               , Mustang Beta                -> PTV
Mustang Beta              , Pulse                     , 3.5               , Mustang Beta                -> Pulse
Mustang Beta              , Pulse LX                  , 3.5               , Mustang Beta                -> Pulse LX
Mustang Beta              , RAFT                      , 4.5               , Mustang Beta                -> RAFT
Mustang Beta              , Railen                    , 5.5               , Mustang Beta                -> Railen
Mustang Beta              , Ranger CV                 , 4.0               , Mustang Beta                -> Ranger CV
Mustang Beta              , Ranger RC                 , 4.0               , Mustang Beta                -> Ranger RC
Mustang Beta              , Ranger TR                 , 4.0               , Mustang Beta                -> Ranger TR
Mustang Beta              , Razor                     , 3.5               , Mustang Beta                -> Razor
Mustang Beta              , Razor EX                  , 3.5               , Mustang Beta                -> Razor EX
Mustang Beta              , Razor LX                  , 3.5               , Mustang Beta                -> Razor LX
Mustang Beta              , Reclaimer                 , 5.1               , Mustang Beta                -> Reclaimer
Mustang Beta              , Redeemer                  , 5.0               , Mustang Beta                -> Redeemer
Mustang Beta              , Reliant Kore              , 4.5               , Mustang Beta                -> Reliant Kore
Mustang Beta              , Reliant Mako              , 4.5               , Mustang Beta                -> Reliant Mako
Mustang Beta              , Reliant Sen               , 4.5               , Mustang Beta                -> Reliant Sen
Mustang Beta              , Reliant Tana              , 4.5               , Mustang Beta                -> Reliant Tana
Mustang Beta              , Retaliator                , 5.214285714285714 , Mustang Beta                -> Retaliator
Mustang Beta              , ROC                       , 3.5               , Mustang Beta                -> ROC
Mustang Beta              , ROC-DS                    , 4.5               , Mustang Beta                -> ROC-DS
Mustang Beta              , Sabre                     , 3.5               , Mustang Beta                -> Sabre
Mustang Beta              , Sabre Firebird            , 3.5               , Mustang Beta                -> Sabre Firebird
Mustang Beta              , Sabre Peregrine           , 3.5               , Mustang Beta                -> Sabre Peregrine
Mustang Beta              , Sabre Raven               , 3.5               , Mustang Beta                -> Sabre Raven
Mustang Beta              , San'tok.yāi               , 3.5               , Mustang Beta                -> San'tok.yāi
Mustang Beta              , Scorpius                  , 4.5               , Mustang Beta                -> Scorpius
Mustang Beta              , Scorpius Antares          , 4.5               , Mustang Beta                -> Scorpius Antares
Mustang Beta              , Scythe                    , 3.5               , Mustang Beta                -> Scythe
Mustang Beta              , Spartan                   , 3.5               , Mustang Beta                -> Spartan
Mustang Beta              , SRV                       , 3.5               , Mustang Beta                -> SRV
Mustang Beta              , Starfarer                 , 5.214285714285714 , Mustang Beta                -> Starfarer
Mustang Beta              , Starfarer Gemini          , 5.166666666666667 , Mustang Beta                -> Starfarer Gemini
Mustang Beta              , Starlancer MAX            , 5.0               , Mustang Beta                -> Starlancer MAX
Mustang Beta              , Starlancer TAC            , 5.666666666666667 , Mustang Beta                -> Starlancer TAC
Mustang Beta              , Storm                     , 3.5               , Mustang Beta                -> Storm
Mustang Beta              , Storm AA                  , 3.5               , Mustang Beta                -> Storm AA
Mustang Beta              , STV                       , 4.5               , Mustang Beta                -> STV
Mustang Beta              , Talon                     , 3.5               , Mustang Beta                -> Talon
Mustang Beta              , Ursa                      , 4.833333333333333 , Mustang Beta                -> Ursa
Mustang Beta              , Talon Shrike              , 3.5               , Mustang Beta                -> Talon Shrike
Mustang Beta              , Terrapin                  , 1.5               , Mustang Beta                -> Terrapin
Mustang Beta              , Terrapin Medic            , 3.5               , Mustang Beta                -> Terrapin Medic
Mustang Beta              , Ursa Medivac              , 4.833333333333333 , Mustang Beta                -> Ursa Medivac
Mustang Beta              , Valkyrie                  , 5.1               , Mustang Beta                -> Valkyrie
Mustang Beta              , Vanguard Harbinger        , 4.5               , Mustang Beta                -> Vanguard Harbinger
Mustang Beta              , Vanguard Hoplite          , 4.5               , Mustang Beta                -> Vanguard Hoplite
Mustang Beta              , Vanguard Sentinel         , 4.5               , Mustang Beta                -> Vanguard Sentinel
Mustang Beta              , Vanguard Warden           , 4.5               , Mustang Beta                -> Vanguard Warden
Mustang Beta              , Vulcan                    , 5.333333333333333 , Mustang Beta                -> Vulcan
Mustang Beta              , Vulture                   , 3.5               , Mustang Beta                -> Vulture
Mustang Beta              , X1                        , 2.5               , Mustang Beta                -> X1
Mustang Beta              , X1 Force                  , 2.5               , Mustang Beta                -> X1 Force
Mustang Beta              , X1 Velocity               , 3.5               , Mustang Beta                -> X1 Velocity
Mustang Beta              , Zeus CL Mk II             , 4.833333333333333 , Mustang Beta                -> Zeus CL Mk II
Mustang Beta              , Zeus ES Mk II             , 3.833333333333333 , Mustang Beta                -> Zeus ES Mk II
Mustang Beta              , Zeus MR Mk II             , 5.333333333333333 , Mustang Beta                -> Zeus MR Mk II
Mustang Delta             , Mustang Gamma             , 2.0               , Mustang Delta               -> Mustang Gamma
Mustang Delta             , Mustang Omega             , 2.0               , Mustang Delta               -> Mustang Omega
Mustang Delta             , Nautilus                  , 4.75              , Mustang Delta               -> Nautilus
Mustang Delta             , Nomad                     , 2.0               , Mustang Delta               -> Nomad
Mustang Delta             , Nova                      , 4.833333333333333 , Mustang Delta               -> Nova
Mustang Delta             , Nox                       , 3.5               , Mustang Delta               -> Nox
Mustang Delta             , Odyssey                   , 4.0               , Mustang Delta               -> Odyssey
Mustang Delta             , Orion                     , 5.714285714285714 , Mustang Delta               -> Orion
Mustang Delta             , P-52 Merlin               , 2.5               , Mustang Delta               -> P-52 Merlin
Mustang Delta             , P-72 Archimedes           , 3.5               , Mustang Delta               -> P-72 Archimedes
Mustang Delta             , Paladin                   , 4.5               , Mustang Delta               -> Paladin
Mustang Delta             , Perseus                   , 4.666666666666667 , Mustang Delta               -> Perseus
Mustang Delta             , Pioneer                   , 4.25              , Mustang Delta               -> Pioneer
Mustang Delta             , Polaris                   , 4.333333333333333 , Mustang Delta               -> Polaris
Mustang Delta             , Prospector                , 3.5               , Mustang Delta               -> Prospector
Mustang Delta             , Prowler                   , 3.5               , Mustang Delta               -> Prowler
Mustang Delta             , PTV                       , 4.5               , Mustang Delta               -> PTV
Mustang Delta             , Pulse                     , 3.5               , Mustang Delta               -> Pulse
Mustang Delta             , Pulse LX                  , 3.5               , Mustang Delta               -> Pulse LX
Mustang Delta             , RAFT                      , 4.5               , Mustang Delta               -> RAFT
Mustang Delta             , Railen                    , 5.5               , Mustang Delta               -> Railen
Mustang Delta             , Ranger CV                 , 4.0               , Mustang Delta               -> Ranger CV
Mustang Delta             , Ranger RC                 , 4.0               , Mustang Delta               -> Ranger RC
Mustang Delta             , Ranger TR                 , 4.0               , Mustang Delta               -> Ranger TR
Mustang Delta             , Razor                     , 3.5               , Mustang Delta               -> Razor
Mustang Delta             , Razor EX                  , 3.5               , Mustang Delta               -> Razor EX
Mustang Delta             , Razor LX                  , 3.5               , Mustang Delta               -> Razor LX
Mustang Delta             , Reclaimer                 , 5.1               , Mustang Delta               -> Reclaimer
Mustang Delta             , Redeemer                  , 4.0               , Mustang Delta               -> Redeemer
Mustang Delta             , Reliant Kore              , 4.5               , Mustang Delta               -> Reliant Kore
Mustang Delta             , Reliant Mako              , 4.5               , Mustang Delta               -> Reliant Mako
Mustang Delta             , Reliant Sen               , 4.5               , Mustang Delta               -> Reliant Sen
Mustang Delta             , Reliant Tana              , 2.5               , Mustang Delta               -> Reliant Tana
Mustang Delta             , Retaliator                , 4.214285714285714 , Mustang Delta               -> Retaliator
Mustang Delta             , ROC                       , 3.5               , Mustang Delta               -> ROC
Mustang Delta             , ROC-DS                    , 4.5               , Mustang Delta               -> ROC-DS
Mustang Delta             , Sabre                     , 2.5               , Mustang Delta               -> Sabre
Mustang Delta             , Sabre Firebird            , 2.5               , Mustang Delta               -> Sabre Firebird
Mustang Delta             , Sabre Peregrine           , 3.5               , Mustang Delta               -> Sabre Peregrine
Mustang Delta             , Sabre Raven               , 2.5               , Mustang Delta               -> Sabre Raven
Mustang Delta             , San'tok.yāi               , 2.5               , Mustang Delta               -> San'tok.yāi
Mustang Delta             , Scorpius                  , 3.5               , Mustang Delta               -> Scorpius
Mustang Delta             , Scorpius Antares          , 3.5               , Mustang Delta               -> Scorpius Antares
Mustang Delta             , Scythe                    , 2.5               , Mustang Delta               -> Scythe
Mustang Delta             , Spartan                   , 3.5               , Mustang Delta               -> Spartan
Mustang Delta             , SRV                       , 3.5               , Mustang Delta               -> SRV
Mustang Delta             , Starfarer                 , 5.214285714285714 , Mustang Delta               -> Starfarer
Mustang Delta             , Starfarer Gemini          , 5.166666666666667 , Mustang Delta               -> Starfarer Gemini
Mustang Delta             , Starlancer MAX            , 5.0               , Mustang Delta               -> Starlancer MAX
Mustang Delta             , Starlancer TAC            , 4.666666666666667 , Mustang Delta               -> Starlancer TAC
Mustang Delta             , Storm                     , 3.5               , Mustang Delta               -> Storm
Mustang Delta             , Storm AA                  , 3.5               , Mustang Delta               -> Storm AA
Mustang Delta             , STV                       , 4.5               , Mustang Delta               -> STV
Mustang Delta             , Talon                     , 1.5               , Mustang Delta               -> Talon
Mustang Delta             , Ursa                      , 4.833333333333333 , Mustang Delta               -> Ursa
Mustang Delta             , Talon Shrike              , 1.5               , Mustang Delta               -> Talon Shrike
Mustang Delta             , Terrapin                  , 3.5               , Mustang Delta               -> Terrapin
Mustang Delta             , Terrapin Medic            , 3.5               , Mustang Delta               -> Terrapin Medic
Mustang Delta             , Ursa Medivac              , 4.833333333333333 , Mustang Delta               -> Ursa Medivac
Mustang Delta             , Valkyrie                  , 4.1               , Mustang Delta               -> Valkyrie
Mustang Delta             , Vanguard Harbinger        , 3.5               , Mustang Delta               -> Vanguard Harbinger
Mustang Delta             , Vanguard Hoplite          , 3.5               , Mustang Delta               -> Vanguard Hoplite
Mustang Delta             , Vanguard Sentinel         , 3.5               , Mustang Delta               -> Vanguard Sentinel
Mustang Delta             , Vanguard Warden           , 3.5               , Mustang Delta               -> Vanguard Warden
Mustang Delta             , Vulcan                    , 5.333333333333333 , Mustang Delta               -> Vulcan
Mustang Delta             , Vulture                   , 3.5               , Mustang Delta               -> Vulture
Mustang Delta             , X1                        , 3.5               , Mustang Delta               -> X1
Mustang Delta             , X1 Force                  , 3.5               , Mustang Delta               -> X1 Force
Mustang Delta             , X1 Velocity               , 3.5               , Mustang Delta               -> X1 Velocity
Mustang Delta             , Zeus CL Mk II             , 4.833333333333333 , Mustang Delta               -> Zeus CL Mk II
Mustang Delta             , Zeus ES Mk II             , 4.833333333333333 , Mustang Delta               -> Zeus ES Mk II
Mustang Delta             , Zeus MR Mk II             , 4.333333333333333 , Mustang Delta               -> Zeus MR Mk II
Mustang Gamma             , Mustang Omega             , 0.0               , Mustang Gamma               -> Mustang Omega
Mustang Gamma             , Nautilus                  , 5.75              , Mustang Gamma               -> Nautilus
Mustang Gamma             , Nomad                     , 2.0               , Mustang Gamma               -> Nomad
Mustang Gamma             , Nova                      , 4.833333333333333 , Mustang Gamma               -> Nova
Mustang Gamma             , Nox                       , 1.5               , Mustang Gamma               -> Nox
Mustang Gamma             , Odyssey                   , 4.0               , Mustang Gamma               -> Odyssey
Mustang Gamma             , Orion                     , 5.714285714285714 , Mustang Gamma               -> Orion
Mustang Gamma             , P-52 Merlin               , 3.5               , Mustang Gamma               -> P-52 Merlin
Mustang Gamma             , P-72 Archimedes           , 1.5               , Mustang Gamma               -> P-72 Archimedes
Mustang Gamma             , Paladin                   , 5.5               , Mustang Gamma               -> Paladin
Mustang Gamma             , Perseus                   , 5.666666666666667 , Mustang Gamma               -> Perseus
Mustang Gamma             , Pioneer                   , 4.25              , Mustang Gamma               -> Pioneer
Mustang Gamma             , Polaris                   , 5.333333333333333 , Mustang Gamma               -> Polaris
Mustang Gamma             , Prospector                , 3.5               , Mustang Gamma               -> Prospector
Mustang Gamma             , Prowler                   , 4.5               , Mustang Gamma               -> Prowler
Mustang Gamma             , PTV                       , 4.5               , Mustang Gamma               -> PTV
Mustang Gamma             , Pulse                     , 3.5               , Mustang Gamma               -> Pulse
Mustang Gamma             , Pulse LX                  , 2.5               , Mustang Gamma               -> Pulse LX
Mustang Gamma             , RAFT                      , 4.5               , Mustang Gamma               -> RAFT
Mustang Gamma             , Railen                    , 5.5               , Mustang Gamma               -> Railen
Mustang Gamma             , Ranger CV                 , 4.0               , Mustang Gamma               -> Ranger CV
Mustang Gamma             , Ranger RC                 , 3.0               , Mustang Gamma               -> Ranger RC
Mustang Gamma             , Ranger TR                 , 4.0               , Mustang Gamma               -> Ranger TR
Mustang Gamma             , Razor                     , 1.5               , Mustang Gamma               -> Razor
Mustang Gamma             , Razor EX                  , 2.5               , Mustang Gamma               -> Razor EX
Mustang Gamma             , Razor LX                  , 2.5               , Mustang Gamma               -> Razor LX
Mustang Gamma             , Reclaimer                 , 5.1               , Mustang Gamma               -> Reclaimer
Mustang Gamma             , Redeemer                  , 5.0               , Mustang Gamma               -> Redeemer
Mustang Gamma             , Reliant Kore              , 4.5               , Mustang Gamma               -> Reliant Kore
Mustang Gamma             , Reliant Mako              , 4.5               , Mustang Gamma               -> Reliant Mako
Mustang Gamma             , Reliant Sen               , 4.5               , Mustang Gamma               -> Reliant Sen
Mustang Gamma             , Reliant Tana              , 4.5               , Mustang Gamma               -> Reliant Tana
Mustang Gamma             , Retaliator                , 5.214285714285714 , Mustang Gamma               -> Retaliator
Mustang Gamma             , ROC                       , 3.5               , Mustang Gamma               -> ROC
Mustang Gamma             , ROC-DS                    , 4.5               , Mustang Gamma               -> ROC-DS
Mustang Gamma             , Sabre                     , 3.5               , Mustang Gamma               -> Sabre
Mustang Gamma             , Sabre Firebird            , 3.5               , Mustang Gamma               -> Sabre Firebird
Mustang Gamma             , Sabre Peregrine           , 1.5               , Mustang Gamma               -> Sabre Peregrine
Mustang Gamma             , Sabre Raven               , 3.5               , Mustang Gamma               -> Sabre Raven
Mustang Gamma             , San'tok.yāi               , 3.5               , Mustang Gamma               -> San'tok.yāi
Mustang Gamma             , Scorpius                  , 4.5               , Mustang Gamma               -> Scorpius
Mustang Gamma             , Scorpius Antares          , 4.5               , Mustang Gamma               -> Scorpius Antares
Mustang Gamma             , Scythe                    , 3.5               , Mustang Gamma               -> Scythe
Mustang Gamma             , Spartan                   , 3.5               , Mustang Gamma               -> Spartan
Mustang Gamma             , SRV                       , 3.5               , Mustang Gamma               -> SRV
Mustang Gamma             , Starfarer                 , 5.214285714285714 , Mustang Gamma               -> Starfarer
Mustang Gamma             , Starfarer Gemini          , 5.166666666666667 , Mustang Gamma               -> Starfarer Gemini
Mustang Gamma             , Starlancer MAX            , 5.0               , Mustang Gamma               -> Starlancer MAX
Mustang Gamma             , Starlancer TAC            , 5.666666666666667 , Mustang Gamma               -> Starlancer TAC
Mustang Gamma             , Storm                     , 3.5               , Mustang Gamma               -> Storm
Mustang Gamma             , Storm AA                  , 3.5               , Mustang Gamma               -> Storm AA
Mustang Gamma             , STV                       , 4.5               , Mustang Gamma               -> STV
Mustang Gamma             , Talon                     , 3.5               , Mustang Gamma               -> Talon
Mustang Gamma             , Ursa                      , 4.833333333333333 , Mustang Gamma               -> Ursa
Mustang Gamma             , Talon Shrike              , 3.5               , Mustang Gamma               -> Talon Shrike
Mustang Gamma             , Terrapin                  , 3.5               , Mustang Gamma               -> Terrapin
Mustang Gamma             , Terrapin Medic            , 3.5               , Mustang Gamma               -> Terrapin Medic
Mustang Gamma             , Ursa Medivac              , 4.833333333333333 , Mustang Gamma               -> Ursa Medivac
Mustang Gamma             , Valkyrie                  , 5.1               , Mustang Gamma               -> Valkyrie
Mustang Gamma             , Vanguard Harbinger        , 4.5               , Mustang Gamma               -> Vanguard Harbinger
Mustang Gamma             , Vanguard Hoplite          , 4.5               , Mustang Gamma               -> Vanguard Hoplite
Mustang Gamma             , Vanguard Sentinel         , 4.5               , Mustang Gamma               -> Vanguard Sentinel
Mustang Gamma             , Vanguard Warden           , 4.5               , Mustang Gamma               -> Vanguard Warden
Mustang Gamma             , Vulcan                    , 5.333333333333333 , Mustang Gamma               -> Vulcan
Mustang Gamma             , Vulture                   , 3.5               , Mustang Gamma               -> Vulture
Mustang Gamma             , X1                        , 3.5               , Mustang Gamma               -> X1
Mustang Gamma             , X1 Force                  , 3.5               , Mustang Gamma               -> X1 Force
Mustang Gamma             , X1 Velocity               , 1.5               , Mustang Gamma               -> X1 Velocity
Mustang Gamma             , Zeus CL Mk II             , 4.833333333333333 , Mustang Gamma               -> Zeus CL Mk II
Mustang Gamma             , Zeus ES Mk II             , 4.833333333333333 , Mustang Gamma               -> Zeus ES Mk II
Mustang Gamma             , Zeus MR Mk II             , 5.333333333333333 , Mustang Gamma               -> Zeus MR Mk II
Mustang Omega             , Nautilus                  , 5.75              , Mustang Omega               -> Nautilus
Mustang Omega             , Nomad                     , 2.0               , Mustang Omega               -> Nomad
Mustang Omega             , Nova                      , 4.833333333333333 , Mustang Omega               -> Nova
Mustang Omega             , Nox                       , 1.5               , Mustang Omega               -> Nox
Mustang Omega             , Odyssey                   , 4.0               , Mustang Omega               -> Odyssey
Mustang Omega             , Orion                     , 5.714285714285714 , Mustang Omega               -> Orion
Mustang Omega             , P-52 Merlin               , 3.5               , Mustang Omega               -> P-52 Merlin
Mustang Omega             , P-72 Archimedes           , 1.5               , Mustang Omega               -> P-72 Archimedes
Mustang Omega             , Paladin                   , 5.5               , Mustang Omega               -> Paladin
Mustang Omega             , Perseus                   , 5.666666666666667 , Mustang Omega               -> Perseus
Mustang Omega             , Pioneer                   , 4.25              , Mustang Omega               -> Pioneer
Mustang Omega             , Polaris                   , 5.333333333333333 , Mustang Omega               -> Polaris
Mustang Omega             , Prospector                , 3.5               , Mustang Omega               -> Prospector
Mustang Omega             , Prowler                   , 4.5               , Mustang Omega               -> Prowler
Mustang Omega             , PTV                       , 4.5               , Mustang Omega               -> PTV
Mustang Omega             , Pulse                     , 3.5               , Mustang Omega               -> Pulse
Mustang Omega             , Pulse LX                  , 2.5               , Mustang Omega               -> Pulse LX
Mustang Omega             , RAFT                      , 4.5               , Mustang Omega               -> RAFT
Mustang Omega             , Railen                    , 5.5               , Mustang Omega               -> Railen
Mustang Omega             , Ranger CV                 , 4.0               , Mustang Omega               -> Ranger CV
Mustang Omega             , Ranger RC                 , 3.0               , Mustang Omega               -> Ranger RC
Mustang Omega             , Ranger TR                 , 4.0               , Mustang Omega               -> Ranger TR
Mustang Omega             , Razor                     , 1.5               , Mustang Omega               -> Razor
Mustang Omega             , Razor EX                  , 2.5               , Mustang Omega               -> Razor EX
Mustang Omega             , Razor LX                  , 2.5               , Mustang Omega               -> Razor LX
Mustang Omega             , Reclaimer                 , 5.1               , Mustang Omega               -> Reclaimer
Mustang Omega             , Redeemer                  , 5.0               , Mustang Omega               -> Redeemer
Mustang Omega             , Reliant Kore              , 4.5               , Mustang Omega               -> Reliant Kore
Mustang Omega             , Reliant Mako              , 4.5               , Mustang Omega               -> Reliant Mako
Mustang Omega             , Reliant Sen               , 4.5               , Mustang Omega               -> Reliant Sen
Mustang Omega             , Reliant Tana              , 4.5               , Mustang Omega               -> Reliant Tana
Mustang Omega             , Retaliator                , 5.214285714285714 , Mustang Omega               -> Retaliator
Mustang Omega             , ROC                       , 3.5               , Mustang Omega               -> ROC
Mustang Omega             , ROC-DS                    , 4.5               , Mustang Omega               -> ROC-DS
Mustang Omega             , Sabre                     , 3.5               , Mustang Omega               -> Sabre
Mustang Omega             , Sabre Firebird            , 3.5               , Mustang Omega               -> Sabre Firebird
Mustang Omega             , Sabre Peregrine           , 1.5               , Mustang Omega               -> Sabre Peregrine
Mustang Omega             , Sabre Raven               , 3.5               , Mustang Omega               -> Sabre Raven
Mustang Omega             , San'tok.yāi               , 3.5               , Mustang Omega               -> San'tok.yāi
Mustang Omega             , Scorpius                  , 4.5               , Mustang Omega               -> Scorpius
Mustang Omega             , Scorpius Antares          , 4.5               , Mustang Omega               -> Scorpius Antares
Mustang Omega             , Scythe                    , 3.5               , Mustang Omega               -> Scythe
Mustang Omega             , Spartan                   , 3.5               , Mustang Omega               -> Spartan
Mustang Omega             , SRV                       , 3.5               , Mustang Omega               -> SRV
Mustang Omega             , Starfarer                 , 5.214285714285714 , Mustang Omega               -> Starfarer
Mustang Omega             , Starfarer Gemini          , 5.166666666666667 , Mustang Omega               -> Starfarer Gemini
Mustang Omega             , Starlancer MAX            , 5.0               , Mustang Omega               -> Starlancer MAX
Mustang Omega             , Starlancer TAC            , 5.666666666666667 , Mustang Omega               -> Starlancer TAC
Mustang Omega             , Storm                     , 3.5               , Mustang Omega               -> Storm
Mustang Omega             , Storm AA                  , 3.5               , Mustang Omega               -> Storm AA
Mustang Omega             , STV                       , 4.5               , Mustang Omega               -> STV
Mustang Omega             , Talon                     , 3.5               , Mustang Omega               -> Talon
Mustang Omega             , Ursa                      , 4.833333333333333 , Mustang Omega               -> Ursa
Mustang Omega             , Talon Shrike              , 3.5               , Mustang Omega               -> Talon Shrike
Mustang Omega             , Terrapin                  , 3.5               , Mustang Omega               -> Terrapin
Mustang Omega             , Terrapin Medic            , 3.5               , Mustang Omega               -> Terrapin Medic
Mustang Omega             , Ursa Medivac              , 4.833333333333333 , Mustang Omega               -> Ursa Medivac
Mustang Omega             , Valkyrie                  , 5.1               , Mustang Omega               -> Valkyrie
Mustang Omega             , Vanguard Harbinger        , 4.5               , Mustang Omega               -> Vanguard Harbinger
Mustang Omega             , Vanguard Hoplite          , 4.5               , Mustang Omega               -> Vanguard Hoplite
Mustang Omega             , Vanguard Sentinel         , 4.5               , Mustang Omega               -> Vanguard Sentinel
Mustang Omega             , Vanguard Warden           , 4.5               , Mustang Omega               -> Vanguard Warden
Mustang Omega             , Vulcan                    , 5.333333333333333 , Mustang Omega               -> Vulcan
Mustang Omega             , Vulture                   , 3.5               , Mustang Omega               -> Vulture
Mustang Omega             , X1                        , 3.5               , Mustang Omega               -> X1
Mustang Omega             , X1 Force                  , 3.5               , Mustang Omega               -> X1 Force
Mustang Omega             , X1 Velocity               , 1.5               , Mustang Omega               -> X1 Velocity
Mustang Omega             , Zeus CL Mk II             , 4.833333333333333 , Mustang Omega               -> Zeus CL Mk II
Mustang Omega             , Zeus ES Mk II             , 4.833333333333333 , Mustang Omega               -> Zeus ES Mk II
Mustang Omega             , Zeus MR Mk II             , 5.333333333333333 , Mustang Omega               -> Zeus MR Mk II
Nautilus                  , Nomad                     , 5.75              , Nautilus                    -> Nomad
Nautilus                  , Nova                      , 5.25              , Nautilus                    -> Nova
Nautilus                  , Nox                       , 5.75              , Nautilus                    -> Nox
Nautilus                  , Odyssey                   , 5.25              , Nautilus                    -> Odyssey
Nautilus                  , Orion                     , 3.75              , Nautilus                    -> Orion
Nautilus                  , P-52 Merlin               , 4.75              , Nautilus                    -> P-52 Merlin
Nautilus                  , P-72 Archimedes           , 5.75              , Nautilus                    -> P-72 Archimedes
Nautilus                  , Paladin                   , 3.5               , Nautilus                    -> Paladin
Nautilus                  , Perseus                   , 3.0               , Nautilus                    -> Perseus
Nautilus                  , Pioneer                   , 3.5               , Nautilus                    -> Pioneer
Nautilus                  , Polaris                   , 3.6666666666666665, Nautilus                    -> Polaris
Nautilus                  , Prospector                , 5.75              , Nautilus                    -> Prospector
Nautilus                  , Prowler                   , 4.5               , Nautilus                    -> Prowler
Nautilus                  , PTV                       , 5.5               , Nautilus                    -> PTV
Nautilus                  , Pulse                     , 5.75              , Nautilus                    -> Pulse
Nautilus                  , Pulse LX                  , 5.75              , Nautilus                    -> Pulse LX
Nautilus                  , RAFT                      , 5.5               , Nautilus                    -> RAFT
Nautilus                  , Railen                    , 4.5               , Nautilus                    -> Railen
Nautilus                  , Ranger CV                 , 5.25              , Nautilus                    -> Ranger CV
Nautilus                  , Ranger RC                 , 5.25              , Nautilus                    -> Ranger RC
Nautilus                  , Ranger TR                 , 5.25              , Nautilus                    -> Ranger TR
Nautilus                  , Razor                     , 5.75              , Nautilus                    -> Razor
Nautilus                  , Razor EX                  , 5.75              , Nautilus                    -> Razor EX
Nautilus                  , Razor LX                  , 5.75              , Nautilus                    -> Razor LX
